wishlist_id,wishlist_code,category,ontology_concept_code,ontology_model_role,forecast_horizon_note,headline,next_action,blocked_by,priority,status,primary_catalog_concept_code,primary_catalog_metric_code
WL_001,chain_absorption_tightness,concept_chain,absorption_tightness,driver,~2 quarters lag-sensitive,"Market clearing / lease-up: vacancy absorption UC inventory pipeline; feeds rent_growth without double-counting rent level.","CONCEPT_absorption_tightness_* + metric/metric_derived rows; align guide_models corridor features; forward tightness or vacancy path t+h.","FACT coverage + ontology row in concept.csv if split from CON_010 absorption",1,blocked,absorption,
WL_002,chain_construction_feasibility,concept_chain,construction_feasibility,constraint,~8 quarters lag-sensitive,"Supply response: permits regulatory index cost index UC pipeline; bounds rent cap vs elastic supply.","CONCEPT_construction_feasibility_*; permits/BPS facts wired; scenario hooks for cost/rate shocks.","BPS/regulatory seeds + long-horizon forecast spec",2,blocked,permits,bps_permits_measure_value
WL_003,chain_transactions_sale_volume,concept_chain,transactions_sale_volume,liquidity_proxy,~2 quarters lag-sensitive,"Liquidity / price discovery: volume DOM turnover; child of absorption in ontology; AVM confidence in thin markets.","CONCEPT_transactions_* + Cherre/recorder facts; liquidity_score versioning; liquidity-adjusted absorption.","Recorder MLS volume facts at corridor grain + guide_signals naming",3,blocked,homeprice,
WL_004,chain_affordability_ceiling,concept_chain,affordability_ceiling,constraint,~4 quarters,"Demand saturation / rent cap: RTI affordability stress; parents rent + household_demographics; binds joint rent forecasts.","CONCEPT_affordability_*; stress index RTI path t+h; cap rent_growth in joint models.","Income + rent concepts stable cross-vendor; policy for national_median_rti",4,blocked,income,
WL_010,concept_household_demographics_optional,concept_chain,household_demographics_demand,driver,,"Optional fifth chain if committee prioritizes formation/migration/renter share over ceiling-only reads.","Mirror income chain doc in playbook; separate from affordability_ceiling constraint role.","Product decision vs affordability_ceiling overlap",9,scoped,income,
WL_011,concept_occupancy_operations_optional,concept_chain,occupancy_operations,driver,,"Optional when lease-up ops metrics should be explicit vs folded into absorption_tightness occupancy proxy.","Split CON_002 occupancy vs operations KPIs in FACT then CONCEPT.","Yardi/ApartmentIQ opco facts maturity",10,scoped,occupancy,
WL_020,populate_bridge_product_type_metric,catalog_gap,,,,"bridge_product_type_metric: per SKU — MET_013 FHFA HPI county + MET_014 FHFA HPI CBSA + MET_007 MET_008 HUD + MET_041–MET_043 Zillow research FACT_*; FK test metric_code -> metric in schema_offering_tearsheet.yml.","Shipped: MET_044–MET_048 plus bridge_product_type_metric rows 64–108 (nine product types × Markerr/Yardi/CoStar rent metrics). Remaining: per-column MET_* for wide Jon **costar_mf_market_cbsa_monthly** after §1.5 inventory; optional ZORI-specific MET if distinct from MET_041.","DataExport column inventory + product SKU naming for MF export metrics",1,in_progress,homeprice,cybersyn_fhfa_house_price_timeseries_value
WL_021,canonical_corridor_model_yaml,infra,,,,"registry/features/corridor_model.yaml path — confirm analytics-engine vs pretium-ai-dbt; single SoT.","Resolve repo + link from FEATURE_CONCEPT_BRIDGE; no duplicate YAML.","Repo ownership",2,blocked,,
WL_022,canonical_arbitrage_score_yaml,infra,,,,"registry/models/arbitrage_score.yaml — composite 4_estimate example.","Land YAML in canonical repo + optional metric_derived row for arbitrage_score_v1_h3_r8_snapshot.","Same as WL_021",3,blocked,,
WL_030,seed_reference_catalog_signals,infra,,,,"REFERENCE.CATALOG.signals seed after layout approval gate (c).","Implement CATALOG_SIGNALS_LAYOUT + schema + wave order.","Alex seed OK per playbook §0",5,blocked,,
WL_031,seed_reference_catalog_models,infra,,,,"REFERENCE.CATALOG.models seed for model_id manifest.","Implement CATALOG_MODELS_LAYOUT + schema.","Signals or parallel design approval",6,blocked,,
WL_040,metric_derived_input_bridge,catalog_gap,,,,"N:1 inputs for composite metric_derived per CATALOG_METRIC_DERIVED_LAYOUT §6.","Shipped: seeds/reference/catalog/metric_derived_input.csv + schema_metric_derived_input.yml; Wave 6c-input in CATALOG_SEED_ORDER.md; starter rows for MDV_001 and MDV_004.","",7,done,,
WL_041,polaris_geo_h3_parent_child_iceberg,catalog_gap,,,,"R1: Polaris reference.geo_h3_parent_child — single SoT Snowflake object with PK partition keys and as_of semantics.","Document export slice; add dataset_id if net-new physical table; wire validation vs pretium-ai-dbt H3 rollup.","R0 geography_level_dictionary + T-CORRIDOR-REFERENCE-H3-SPINE-READY",1,blocked,,
