concept_id,domain_code,concept_code,description,definition,explanation
CON_001,housing,rent,rent measures housing service price level and trend for cash-flow outlook and basis work.,"rent is the stable concept for housing service price level and trend. It is typically modeled at property, ZIP, county, or CBSA grain with monthly or quarterly refresh. It does not include household affordability ratios or financing yields. Keep asking, effective, index, and psf rent variants separate by metric_id.","This concept acts primarily as a housing-market state or clearing outcome. Decision makers use rent to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume rent in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_002,housing,occupancy,occupancy measures share of occupied housing units for stability and revenue context.,"occupancy is the stable concept for share of occupied housing units. It is typically modeled at property, ZIP, county, or CBSA grain with monthly or quarterly refresh. It does not replace collections or leasing economics unless explicitly defined. Keep physical and economic occupancy variants separate by metric_id.","This concept acts primarily as a housing-market state or clearing outcome. Decision makers use occupancy to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume occupancy in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_003,housing,vacancy,vacancy measures share of unoccupied housing units for slack and repricing risk monitoring.,"vacancy is the stable concept for share of unoccupied housing units. It is typically modeled at property, ZIP, county, or CBSA grain with monthly or quarterly refresh. It does not replace absorption or occupancy operations definitions. Keep physical, economic, and market vacancy variants separate by metric_id.","This concept acts primarily as a housing-market state or clearing outcome. Decision makers use vacancy to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume vacancy in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_004,place,employment,employment measures local employment level and growth for place competitiveness assessment.,"employment is the stable concept for local employment level and growth. It is typically modeled at ZIP, county, or CBSA grain as a location-conditioned signal over time. It does not replace unemployment or labor-participation constructs. Keep level, growth, and participation-adjacent variants separate by metric_id.","This concept acts primarily as a location-quality or local-conditions signal. Decision makers use employment to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume employment in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_005,place,unemployment,unemployment measures labor-force unemployment share for local stress and downside screening.,"unemployment is the stable concept for labor-force unemployment share. It is typically modeled at ZIP, county, or CBSA grain as a location-conditioned signal over time. It does not replace employment levels or broader household income concepts. Keep headline unemployment and adjusted slack variants separate by metric_id.","This concept acts primarily as a location-quality or local-conditions signal. Decision makers use unemployment to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume unemployment in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_006,housing,permits,permits measures authorized future housing supply for pipeline leading-indicator tracking.,"permits is the stable concept for authorized future housing supply. It is typically modeled at property, ZIP, county, or CBSA grain with monthly or quarterly refresh. It does not equal starts or completions and should not be interpreted as delivered stock. Keep permit units, permit counts, and permit ratios separate by metric_id.","This concept acts primarily as a housing-market state or clearing outcome. Decision makers use permits to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume permits in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_007,household,migration,migration measures net household/person relocation for demand shift detection.,"migration is the stable concept for net household/person relocation. It is typically modeled at county, CBSA, or state grain with slower demographic update cadence. It does not represent permanent demand quality without household and labor context. Keep person-flow and household-flow variants separate by metric_id.","This concept acts primarily as a demand-capacity driver or constraint for housing consumption. Decision makers use migration to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume migration in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_008,household,population,population measures resident stock level for rate normalization and scale context.,"population is the stable concept for resident stock level. It is typically modeled at county, CBSA, or state grain with slower demographic update cadence. It does not encode affordability or labor slack by itself. Keep total population, household count, and cohort variants separate by metric_id.","This concept acts primarily as a demand-capacity driver or constraint for housing consumption. Decision makers use population to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume population in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_009,housing,homeprice,homeprice measures residential asset price level and trend for collateral and momentum monitoring.,"homeprice is the stable concept for residential asset price level and trend. It is typically modeled at property, ZIP, county, or CBSA grain with monthly or quarterly refresh. It does not replace rent or cap-rate concepts and should not mix index and median semantics. Keep index levels, medians, and price-psf variants separate by metric_id.","This concept acts primarily as a housing-market state or clearing outcome. Decision makers use homeprice to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume homeprice in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
CON_010,housing,absorption,absorption measures inventory consumption pace for lease-up and clearing analysis.,"absorption is the stable concept for inventory consumption pace. It is typically modeled at property, ZIP, county, or CBSA grain with monthly or quarterly refresh. It does not equal transaction count alone and should not be confused with pipeline volume. Keep net absorption, gross absorption, and pace ratios separate by metric_id.","This concept acts primarily as a housing-market state or clearing outcome. Decision makers use absorption to improve screening, underwriting, and portfolio monitoring in its domain context. It is operationalized from raw facts or governed derived metrics with transparent transformation lineage. Higher or lower values should be interpreted relative to regime, geography, and product context rather than as absolute universal thresholds.

Primary governance risk is definition drift across vintages, denominator shifts, or silent methodology changes, so each release must carry as_of and version metadata. Consume absorption in FEATURE, MODEL, and ESTIMATE layers with explicit metric_id provenance and documented refresh cadence."
