dataset_id,dataset_code,dataset_label,definition,vendor_code,concept_code,geo_level_code,frequency_code,source_schema,pipeline_status,coverage_pct,first_vintage,is_active,data_status_code,is_motherduck_served,last_refresh_date,opco_code,product_type_codes
DS_001,acs_demographics_tract,ACS Demographics (Tract),ACS 5-year demographic estimates at tract grain covering income tenure housing units and household composition,acs,income,county,annual,TRANSFORM.CENSUS,transform_ready,99.0,2010-01-01,TRUE,active,FALSE,,,
DS_002,acs_demographics_cbsa,ACS Demographics (CBSA),ACS 5-year estimates aggregated to CBSA grain. TRANSFORM.CENSUS.ACS5 covers all grains,acs,income,cbsa,annual,TRANSFORM.CENSUS,transform_ready,99.0,2010-01-01,TRUE,active,FALSE,,,
DS_003,bps_cbsa_monthly,Building Permits Survey (CBSA),U.S. Census Bureau Building Permits Survey at CBSA grain (official BPS — not Cybersyn). Raw DEV landing TRANSFORM.DEV.BPS_CBSA_RAW; promoted silver TRANSFORM.BPS; semantic read-through dbt model materializes as TRANSFORM.DEV.FACT_BPS_PERMITS_COUNTY (CBSA keys despite historical PERMITS_COUNTY name),census,permits,cbsa,monthly,TRANSFORM.BPS,transform_ready,98.0,1995-01-01,TRUE,active,FALSE,,,
DS_004,bps_county_monthly,Building Permits Survey (County),U.S. Census Bureau BPS monthly permits. Silver TRANSFORM.BPS.PERMITS_COUNTY; semantic-layer typed view TRANSFORM.DEV.FACT_BPS_PERMITS_COUNTY (CBSA grain — see migration Part A),census,permits,cbsa,monthly,TRANSFORM.BPS,transform_ready,98.0,1995-01-01,TRUE,active,FALSE,,,
DS_005,census_pep_cbsa_annual,Population Estimates Program (CBSA),Annual Census PEP population estimates at CBSA grain,census,population,cbsa,annual,TRANSFORM.CENSUS,transform_ready,99.0,2010-01-01,TRUE,active,FALSE,,,
DS_006,census_pep_county_annual,Population Estimates Program (County),Annual Census PEP population estimates at county grain,census,population,county,annual,TRANSFORM.CENSUS,transform_ready,99.0,2000-01-01,TRUE,active,FALSE,,,
DS_007,census_cbp_cbsa_annual,County Business Patterns (CBSA),Annual business establishment and employment counts by industry at CBSA grain,census,employment,cbsa,annual,SOURCE_PROD.CENSUS,source_prod_only,99.0,2000-01-01,TRUE,active,FALSE,,,
DS_008,census_cbp_county_annual,County Business Patterns (County),Annual business establishment and employment counts by industry at county grain,census,employment,county,annual,SOURCE_PROD.CENSUS,source_prod_only,99.0,2000-01-01,TRUE,active,FALSE,,,
DS_009,bls_laus_county_monthly,BLS LAUS (County),U.S. Bureau of Labor Statistics Local Area Unemployment Statistics at county grain (official BLS LAUS — not Cybersyn). Silver TRANSFORM.BLS.LAUS_COUNTY; semantic read-through TRANSFORM.DEV.FACT_BLS_LAUS_COUNTY,bls,unemployment,county,monthly,TRANSFORM.BLS,transform_ready,99.0,1990-01-01,TRUE,active,FALSE,,,
DS_010,bls_laus_cbsa_monthly,BLS LAUS (CBSA),BLS LAUS metro series in TRANSFORM.BLS.LAUS_CBSA; observe-only semantic view TRANSFORM.DEV.FACT_BLS_LAUS_CBSA_MONTHLY — AREA_CODE is not vetted as OMB CBSA (prefer county LAUS rollups),bls,unemployment,cbsa,monthly,TRANSFORM.BLS,transform_ready,99.0,1990-01-01,TRUE,active,FALSE,,,
