metric_id,metric_code,metric_label,concept_code,domain,geo_level_code,frequency_code,unit,direction,is_active,data_status_code,snowflake_column,table_path,coverage_pct,first_vintage,notes
ZILLOW_DEV_HOUSING_INVENTORY_GOVERNED,zillow_housing_inventory_governed_zip_monthly_observe,Zillow housing inventory governed ZIP monthly (Transform.Dev),supply_pipeline,housing,zip,monthly,varies,neutral,TRUE,vendor_stated,VALUE,TRANSFORM.DEV.FACT_HOUSING_INVENTORY_ZILLOW_GOVERNED_ZIP_MONTHLY,0,1900-01-01,coverage_pct/first_vintage sentinels until profiling.
ZILLOW_DEV_ABSORPTION_PARCL_COMPAT,zillow_absorption_parcl_compat_zip_monthly_observe,Zillow absorption Parcl-compatible ZIP monthly (Transform.Dev),absorption,housing,zip,monthly,ratio,positive,TRUE,vendor_stated,ABSORPTION_RATE,TRANSFORM.DEV.FACT_ZILLOW_ABSORPTION_PARCL_COMPAT_ZIP_MONTHLY,0,1900-01-01,coverage_pct/first_vintage sentinels until profiling.
ZILLOW_MAN_4566A18BDB,zillow_zillow_absorption_parcl_compat_zip_monthly_new_listings_for_sale,Zillow New Listings For Sale,supply_pipeline,housing,cbsa,monthly,count,neutral,TRUE,vendor_stated,NEW_LISTINGS_FOR_SALE,TRANSFORM.DEV.FACT_ZILLOW_ABSORPTION_PARCL_COMPAT_ZIP_MONTHLY,0,1900-01-01,SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
ZILLOW_MAN_B60AFAEA63,zillow_zillow_absorption_parcl_compat_zip_monthly_sales,Zillow Sales,supply_pipeline,housing,cbsa,monthly,count,positive,TRUE,vendor_stated,SALES,TRANSFORM.DEV.FACT_ZILLOW_ABSORPTION_PARCL_COMPAT_ZIP_MONTHLY,0,1900-01-01,SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
ZILLOW_MAN_49A7E8B1,zillow__fact_zillow_affordability__metric_value,METRIC_VALUE — FACT_ZILLOW_AFFORDABILITY (6 catalog metrics),income,household,cbsa,monthly,usd,neutral,TRUE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.FACT_ZILLOW_AFFORDABILITY,0,1900-01-01,Collapsed 6 `metric.csv` rows onto this physical column. SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
ZILLOW_MAN_96AC7504,zillow__fact_zillow_days_on_market_and_price_cuts__metric_value,METRIC_VALUE — FACT_ZILLOW_DAYS_ON_MARKET_AND_PRICE_CUTS (42 catalog metrics),supply_pipeline,housing,cbsa,monthly,days,negative,TRUE,vendor_stated,METRIC_VALUE,TRANSFORM.DEV.FACT_ZILLOW_DAYS_ON_MARKET_AND_PRICE_CUTS,0,1900-01-01,Collapsed 42 `metric.csv` rows onto this physical column. SOURCE_VENDOR_CODES seen: Zillow. coverage_pct/first_vintage sentinels until profiling.
ZILLOW_DEV_FOR_SALE_HOMES_SOLD,zillow_for_sale_homes_sold_zip_monthly_observe,Zillow for-sale homes sold ZIP monthly (Transform.Dev),absorption,housing,zip,monthly,count,positive,TRUE,vendor_stated,HOMES_SOLD,TRANSFORM.DEV.FACT_ZILLOW_FOR_SALE_INVENTORY_ZIP_MONTHLY,0,1900-01-01,coverage_pct/first_vintage sentinels until profiling.
ZILLOW_DEV_FOR_SALE_INVENTORY,zillow_for_sale_inventory_zip_monthly_observe,Zillow for-sale inventory ZIP monthly (Transform.Dev),supply_pipeline,housing,zip,monthly,count,neutral,TRUE,vendor_stated,INVENTORY,TRANSFORM.DEV.FACT_ZILLOW_FOR_SALE_INVENTORY_ZIP_MONTHLY,0,1900-01-01,coverage_pct/first_vintage sentinels until profiling.
ZILLOW_DEV_FOR_SALE_MEDIAN_DOM,zillow_for_sale_median_dom_zip_monthly_observe,Zillow for-sale median days on market ZIP monthly (Transform.Dev),absorption,housing,zip,monthly,days,negative,TRUE,vendor_stated,MEDIAN_DOM,TRANSFORM.DEV.FACT_ZILLOW_FOR_SALE_INVENTORY_ZIP_MONTHLY,0,1900-01-01,coverage_pct/first_vintage sentinels until profiling.
ZILLOW_DEV_FOR_SALE_MONTHS_OF_SUPPLY,zillow_for_sale_months_of_supply_zip_monthly_observe,Zillow for-sale months of supply ZIP monthly (Transform.Dev),supply_pipeline,housing,zip,monthly,index,neutral,TRUE,vendor_stated,MONTHS_OF_SUPPLY,TRANSFORM.DEV.FACT_ZILLOW_FOR_SALE_INVENTORY_ZIP_MONTHLY,0,1900-01-01,coverage_pct/first_vintage sentinels until profiling.
