concept_code,bridge_sort_tier,definition,grain_spec,canonical_metric_priority,aggregation_rule,qa_bounds,caveats,slot_current,slot_historical,slot_forecast,required_keys
rent,10,Market rent level and trend for residential stock,zip/county/cbsa/state; monthly preferred,zillow > costar > yardi > markerr,Unit-weighted median or average by stock base,rent>=0; yoy outlier flags outside expected policy bounds,Ask-vs-effective differences and concessions normalization required. Rent per sq ft (rent normalized by interior size) stays on concept_code rent—use metric rows and table unit columns (e.g. median_rent_*_unit); do not introduce a separate concept for PSF.,Latest validated non-forecast period,Immutable backfill with vintage,Scenario/run-scoped projection,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
occupancy,20,Share of occupied units,zip/county/cbsa/state; monthly or quarterly,ops/yardi > costar > hud derived,Unit-weighted occupancy rate,0<=occupancy<=1; occupancy+vacancy approx 1,Physical vs economic occupancy semantics differ,Latest non-forecast cycle,Versioned history retained,Lease-up or stress scenario,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
vacancy,20,Share of unoccupied units,zip/county/cbsa/state; monthly or quarterly,hud/costar/property ops,Unit-weighted vacancy rate,0<=vacancy<=1; complement check against occupancy,Market vacancy and physical vacancy can differ,Latest non-forecast cycle,Versioned history retained,Scenario-based path if modeled,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
employment,50,Employment level and trend signal,block_group/county/cbsa/state; monthly/quarterly/annual,bls qcew/laus > lodes access transforms,Counts additive; rates weighted by employment base,Non-negative counts with revision/outlier checks,Residence-vs-workplace geography differences must be explicit,Latest release period,Revision-aware historical vintages,Macro-linked employment scenario,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
unemployment,50,Labor market slack as unemployment share,county/cbsa/state; monthly,bls laus primary,Rate weighted by labor-force denominator,0<=rate<=1 and policy envelope checks,LAUS CBSA AREA_CODE join caveat vs OMB CBSA,Latest release month,Revision-aware historical vintages,Macro scenario path only,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
permits,40,Authorized residential permits as forward supply proxy,county/cbsa/state; monthly rollup to quarter/year,census bps > local permits fallback,Counts additive; ratios weighted by stock base,Non-negative with seasonal/outlier checks,Permits are not starts/completions and can revise,Latest published month,Revised history retained,Permit model with rate/policy assumptions,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
migration,55,Net household/person movement demand proxy,county/cbsa/state; annual preferred,irs soi > acs migration > usps proxy,Counts additive; rates weighted by population base,allow negatives; abs(net)/population policy-bounded,Household-vs-person normalization and source lags required,Latest validated annual period,Long historical vintages retained,Scenario net migration path,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
population,55,Resident population stock,zip/county/cbsa/state; annual,census pep > acs estimates,Counts additive,Non-negative with YoY swing flags and boundary checks,Boundary/vintage changes must be versioned,Latest annual estimate,Vintage-tagged historical series,Cohort/trend projection path,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
homeprice,45,Residential sale value level/trend,zip/county/cbsa/state; monthly/quarterly,fhfa hpi + zillow + avm + recorder comps,Rates/index weighted by transaction volume,Non-negative price with YoY outlier checks,Mix-shift bias in medians must be documented,Latest validated period,Revision-aware historical index,HPA scenario curve by run/scenario,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
absorption,30,Demand clearing speed versus available supply,county/cbsa; monthly/quarterly,costar mf net absorption units > rca/msxi vendor panels > internal audited blends,Units additive; pace ratios weighted by inventory,Non-negative net absorption where counts are defined; inventory denominators must match vendor definition,Register MLS DOM active counts and closed-sale counts under listings or transactions—not absorption; DOM alone is not net absorption,Latest market panel period,Historical retained by methodology,Modeled demand/supply clearing scenario,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
supply_pipeline,35,Future deliverable supply pressure,county/cbsa; monthly/quarterly,costar/reis pipeline + starts/completions,Units additive; months-of-supply derived with trailing absorption,Non-negative and stage reconciliation checks,Double-counting across project stages is common,Latest active pipeline snapshot,Stage-transition history preserved,Delivery schedule with delay probabilities,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
crime,70,Safety risk proxy for demand/pricing,zip/county; annual,fbi ucr/nibrs + local feeds,Rates weighted by population,Non-negative with reporting break flags,UCR->NIBRS comparability caveat must be documented,Latest annual release,Method-normalized history retained,Scenario optional only,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
school_quality,70,Education quality proxy,zip/county; annual,nces/state accountability sources,Enrollment-weighted index,Bounded index check per scale and drift flags,District boundary and rubric changes require versioning,Latest school-year release,Method-versioned history retained,Typically no forecast or flat-forward,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
income,55,Household earning capacity and affordability support,zip/county/cbsa/state; annual,acs median hh income > irs distributions,Medians and growth computed on consistent inflation basis,Positive values and plausibility checks,Nominal-vs-real basis must be explicit,Latest annual estimate,Inflation-harmonized history,Macro-linked income projection,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
noi,80,Net operating income before capital structure,property; monthly/quarterly/annual,property accounting systems primary,Dollar sums with optional normalization at aggregate levels,Allow negatives with component reconciliation,In-place vs stabilized NOI requires explicit tag,Latest actual trailing period,Restatement-aware history preserved,Underwriting case projection by scenario,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
dscr,80,Debt service coverage ratio NOI/debt service,property; monthly/quarterly,loan servicing + underwriting cashflow,Portfolio aggregation weighted by loan balance,Policy bounds and extreme-ratio flags,Interest-only periods and term changes affect comparability,Latest servicing cycle,Term-aware historical vintages,Debt schedule scenario path,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
cap_rate,80,Yield proxy from NOI/value or transaction implied yields,property/zip/county/cbsa; quarterly/annual,transaction comps + internal valuation,Weighted by transaction value,Policy envelope checks with outlier flagging,Going-in vs stabilized vs terminal caps must be tagged,Latest comp period,Historical comp series retained,Spread-to-rates scenario path,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
ltv,80,Loan-to-value leverage ratio,property; monthly/quarterly,loan tape + appraisal/avm valuation,Weighted by loan balance,Range checks and >1 stress flagging,Value source provenance must be explicit,Latest valuation-servicing point,Historical mark history retained,Value/loan scenario path,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
delinquency,60,Share of loans/units past due by bucket,property and market(zip/county/cbsa); monthly/quarterly,servicer tape > mba/public aggregate,Balance-weighted delinquency rates with ordered bucket logic,0<=rate<=1; bucket monotonicity and jump flags,Cure/re-aging and denominator policy vary by source,Latest servicing cycle,Vintage-preserved history,Transition-matrix stress scenario,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
concession,25,Leasing incentive level reducing effective rent,property/zip/county/cbsa; monthly/quarterly,property ops + market leasing panels,Unit-weighted average concession level,Non-negative and weeks-free sanity bounds,Upfront-vs-amortized concession normalization needed,Latest leasing cycle,Historical retained by lease methodology,Lease-up scenario assumptions,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
automation,65,Exposure of workforce task mix to automation/displacement,national baseline + county x occupation; annual,onet task vectors + epoch exposure + bls/qcew employment,Exposure index weighted by occupation employment share,Index bounded and employment-share sum checks,SOC crosswalk vintage must be explicit,Latest available SOC year,History frozen by SOC vintage,Scenario overlays only for adoption path,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
transactions,45,Sale counts/volume and turnover intensity,county/cbsa; monthly/quarterly (property optional),recorder deeds + mls + rca,Counts additive with weighted medians/psf where used,Non-negative with dedupe and lag corrections,Recording lag and multi-parcel dedupe policy required,Latest settled period,Restatement-aware historical series,Optional turnover forecast model,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
rates,30,Policy and benchmark interest-rate levels,national; daily or monthly,fred > treasury > swap-implied,Levels and changes with revision flags,Non-negative nominal policy rate checks where applicable,Product mapping vs cap_rate macro bundle must be explicit,Latest curve publish,Revision-aware vintages,Scenario rate path,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
inflation,30,Consumer and producer price inflation,national; daily to quarterly,bls cpi/pce > fred aggregates,Index level and YoY with base-year explicit,Non-negative index; YoY plausibility bounds,Index revision and rebasing must be versioned,Latest release,Restated history,Scenario inflation path,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
wages,50,Earnings and payroll wages,national to county; monthly to annual,bls qcew > ces > oxford macro where licensed,Dollars additive at aggregate; medians weighted,Non-negative wage series with outlier checks,Mix and composition shifts across sectors,Latest payroll month,Vintage-aware history,Macro wage scenario,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
labor,50,Labor-force participation and slack complements,county/cbsa/state/national; monthly,bls laus participation > cps where available,Rate from LF and population denominators,0-1 bounds on participation where defined,CPS vs LAUS residence definitions must be explicit,Latest month,Revision-aware history,Macro participation scenario,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
listings,29,Counts and listing-state measures from on-market channels only (MLS portal asking-inventory feeds). Explicitly excludes assessor or parcel-universe housing stock totals and is not the same as completed sales (transactions).,zip/county/cbsa; monthly or weekly,zillow research > realtor inventory > mls long tail,Vendor-native additive counts at stable geo x frequency; DOM as listing-process timing,Non-negative counts where applicable; DOM and price-cut bands vendor-documented,Pending contingent and off-MLS pocket listings follow vendor definitions; do not relabel universe stock metrics here,Latest validated panel period,Immutable vendor backfill where available,Usually none,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
housing_stock,43,Structure unit and parcel inventory from universe sources (assessor tax roll parcel fabric Cherre-style stock snapshots) on or off market. Explicitly excludes definitions that count only active MLS or portal listings.,property/zip/county/cbsa; monthly quarterly or annual,cherre stock universe > assessor roll > census building stock,Additive counts by parcel or unit with explicit dedupe rules,Non-negative stock with YoY sanity checks,Vacancy and occupancy rates stay on vacancy or occupancy concepts; listing-only flows stay on listings,Latest snapshot or roll extract,Vintage-preserved history,Stock scenario overlays rare,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
disposition,93,Progress SFDC disposition exit economics list price contract net proceeds DOM vs IC disposition workflow,property one row per SFDC_DISPOSITION__C record current state,sfdc_disposition__c wide extract > join bpo via concept_progress_disposition_bpo,Wide row not additive across deals; version by LASTMODIFIEDDATE,Non-null property key; currency fields reconcile to IC,Do not treat list or contract price as market homeprice index—deal-specific; market tightness stays on listings or absorption concepts,Latest disposition row by mod stamp,SFDC history table if landed for true time series,Disposition scenario overlays from IC,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
pipeline,55,O*NET BLS pipeline and workforce-forward indicator stack,national through county; annual or monthly,onet bls qcew composites,Vendor-weighted composites when employment shares resolve,Non-negative indexes with SOC vintage drift flags,Do not silently substitute supply_pipeline units; crosswalk in metric documentation,Latest vendor SOC stamped year,Vintage-stamped historical,Scenario overlays optional,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
education,65,Census ACS school-age cohorts and attainment shares,tract through cbsa; annual,census acs education subject tables,Population-share rates on stable denominators,0-1 bounds for attainment shares where applicable,Do not merge with school_quality index composites in UI without explicit mapping,Latest ACS release,Vintage-aligned multi-year panels,Scenario optional only,as_of_date|geo_level|geo_id|frequency_code|concept_code|metric_id|source_vendor|source_priority|value|is_forecast|scenario_id|run_id|quality_flag
