vendor_id,vendor_code,vendor_label,definition,data_type,refresh_cadence,contract_status,source_schema,is_active,contract_expiry_date,data_share_type,vertical_codes
VND_001,acs,US Census Bureau — ACS,American Community Survey 5-year estimates covering demographics household income tenure and housing characteristics at tract block group CBSA and ZIP grain,administrative,annual,active,RAW.ACS,TRUE,,s3,
VND_002,bls,Bureau of Labor Statistics,BLS employment and labor data including LAUS QCEW and OES series at county CBSA and national grain,administrative,monthly,active,RAW.BLS,TRUE,,s3,
VND_003,census,US Census Bureau — Decennial / PEP,Population Estimates Program and County Business Patterns data at county and CBSA grain,administrative,annual,active,RAW.CENSUS,TRUE,,s3,
VND_004,fred,Federal Reserve — FRED,FRED macro economic series covering interest rates treasury yields and broad macro indicators,administrative,daily,active,RAW.FRED,TRUE,,api,
VND_005,hud,HUD,HUD Fair Market Rents Housing Choice Vouchers Qualified Census Tracts and Difficult Development Areas,administrative,annual,active,RAW.HUD,TRUE,,s3,
VND_006,fema,FEMA,FEMA National Risk Index hazard risk scores by tract and county including flood wildfire wind and composite risk,administrative,annual,active,RAW.FEMA,TRUE,,s3,
VND_007,onet,O*NET — Department of Labor,O*NET occupational data covering work activities skills tasks and automation exposure by SOC code,administrative,annual,active,RAW.ONET,TRUE,,s3,
VND_008,redfin,Redfin,Redfin residential housing market data covering median sale price DOM inventory and list-to-sale ratio at MSA and ZIP grain,transactional,weekly,active,RAW.REDFIN,TRUE,,s3,
VND_009,zillow,Zillow,Zillow Home Value Index ZORI rent index and affordability series at MSA county city and ZIP grain,transactional,monthly,active,RAW.ZILLOW,TRUE,,s3,
VND_010,realtor,Realtor.com,Realtor.com inventory hotness and listing metrics at MSA and ZIP grain,transactional,weekly,active,RAW.REALTOR,TRUE,,s3,
VND_011,cherre,Cherre,Cherre property data platform covering MLS recorder tax assessor AVM rent roll demographics and unit availability,transactional,daily,active,RAW.CHERRE,TRUE,,snowflake_share,
VND_012,bkfs,Black Knight Financial Services,Black Knight McDash loan-level mortgage data including loan characteristics current performance delinquency history and property attributes,transactional,monthly,active,RAW.BKFS,TRUE,,s3,red
VND_013,costar,CoStar,CoStar multifamily market export property metrics fund metrics and scenario forecasts,survey,quarterly,active,RAW.COSTAR,TRUE,,s3,
VND_014,markerr,Markerr,Markerr RealRent property-level rent listings forecast SFR income employment crime and MF permits at property and ZIP grain,transactional,monthly,active,RAW.MARKERR,TRUE,,s3,
VND_015,zonda,Zonda,Zonda new construction BTR project tracking starts closings plans deeds and survey data at property and CBSA grain,survey,monthly,active,RAW.TPANALYTICS,TRUE,,snowflake_share,
VND_016,parcllabs,Parcl Labs,Parcl Labs SFR housing stock ownership demand pricing supply and institutional ownership analytics at CBSA and ZIP grain,transactional,monthly,active,RAW.PARCLLABS,TRUE,,api,
VND_017,green_street,Green Street Advisors,Green Street market projections HPA scenarios macro rates fundamental valuation and US debt data covering CMBS ABS and high yield,survey,quarterly,active,RAW.GREEN_STREET,TRUE,,s3,
VND_018,oxford_economics,Oxford Economics,Oxford Economics AMREG residential market forecasts and WDMARCO macro series at CBSA and national grain,survey,quarterly,active,SOURCE_ENTITY.PRETIUM,TRUE,,sftp,
VND_019,jbrec,John Burns Research & Consulting,JBREC SFR multifamily BTR and national housing research data at CBSA and national grain,survey,monthly,active,RAW.JBREC,TRUE,,s3,
VND_020,cotality,Cotality,Cotality crime and school quality tract-level time series data,transactional,annual,active,RAW.COTALITY,TRUE,,s3,
VND_021,apartmentiq,ApartmentIQ,ApartmentIQ multifamily property and unit KPI competitive market data for BH OpCo,survey,monthly,active,SOURCE_ENTITY.BH,TRUE,,snowflake_share,resi
VND_022,overture,Overture Maps,Overture Maps open geospatial data covering POI places building footprints land use and transportation,spatial,annual,active,RAW.OVERTURE,TRUE,,snowflake_share,
VND_023,first_street,First Street Foundation,First Street climate risk scores at property grain covering flood wildfire wind and heat risk,spatial,annual,active,RAW.FIRST_STREET,TRUE,,s3,
VND_024,epoch_ai,Epoch AI,Epoch AI model capabilities registry tracking AI system performance across standardized benchmarks,administrative,annual,active,RAW.EPOCH_AI,TRUE,,s3,
VND_025,apartment_list,Apartment List,Apartment List rent estimates rent growth MoM/YoY vacancy index and time on market at CBSA and national grain,survey,monthly,active,RAW.APARTMENT_LIST,TRUE,,s3,resi
